SMA_3,SMA_5,SMA_8,SMA_10,SMA_12,SMA_13,SMA_15,SMA_20,SMA_26,SMA_30,SMA_35,SMA_40,SMA_45,SMA_50,SMA_60,SMA_70,SMA_80,SMA_90,SMA_100,SMA_110,SMA_120,SMA_130,SMA_140,SMA_150,SMA_160,SMA_170,SMA_180,SMA_190
3783.0,3783.0,3784.125,3785.0,3785.0833333333335,3785.3076923076924,3785.6,3786.85,3495.923076923077,3029.8,2596.9714285714285,2272.35,2019.8666666666666,1817.88,1514.9,1298.4857142857143,1136.175,1009.9333333333333,908.94,826.3090909090909,757.45,699.1846153846154,649.2428571428571,605.96,568.0875,534.6705882352941,504.96666666666664,478.38947368421054
3786.3333333333335,3784.6,3784.625,3785.4,3785.6666666666665,3785.6153846153848,3785.8,3786.85,3641.769230769231,3156.2,2705.3142857142857,2367.15,2104.133333333333,1893.72,1578.1,1352.6571428571428,1183.575,1052.0666666666666,946.86,860.7818181818182,789.05,728.3538461538461,676.3285714285714,631.24,591.7875,556.9764705882353,526.0333333333333,498.34736842105264
3788.6666666666665,3786.4,3785.125,3785.6,3786.0833333333335,3786.076923076923,3786.133333333333,3786.8,3787.576923076923,3282.5666666666666,2813.6285714285714,2461.925,2188.3777777777777,1969.54,1641.2833333333333,1406.8142857142857,1230.9625,1094.1888888888889,984.77,895.2454545454545,820.6416666666667,757.5153846153846,703.4071428571428,656.5133333333333,615.48125,579.2764705882353,547.0944444444444,518.3
3791.3333333333335,3788.2,3786.125,3785.9,3786.3333333333335,3786.4615384615386,3786.3333333333335,3786.85,3787.6923076923076,3408.9333333333334,2921.942857142857,2556.7,2272.6222222222223,2045.36,1704.4666666666667,1460.9714285714285,1278.35,1136.3111111111111,1022.68,929.709090909091,852.2333333333333,786.6769230769231,730.4857142857143,681.7866666666666,639.175,601.5764705882353,568.1555555555556,538.2526315789473
3790.0,3789.0,3786.625,3786.0,3786.25,3786.4615384615386,3786.5333333333333,3786.75,3787.730769230769,3535.2,3030.1714285714284,2651.4,2356.8,2121.12,1767.6,1515.0857142857142,1325.7,1178.4,1060.56,964.1454545454545,883.8,815.8153846153846,757.5428571428571,707.04,662.85,623.8588235294118,589.2,558.1894736842105
3789.0,3790.0,3787.375,3786.5,3786.25,3786.3846153846152,3786.6666666666665,3786.7,3787.653846153846,3661.4666666666667,3138.4,2746.1,2440.9777777777776,2196.88,1830.7333333333333,1569.2,1373.05,1220.4888888888888,1098.44,998.5818181818182,915.3666666666667,844.9538461538461,784.6,732.2933333333333,686.525,646.1411764705882,610.2444444444444,578.1263157894737
3787.3333333333335,3788.8,3787.875,3786.7,3786.1666666666665,3786.230769230769,3786.5333333333333,3786.55,3787.423076923077,3787.6666666666665,3246.5714285714284,2840.75,2525.1111111111113,2272.6,1893.8333333333333,1623.2857142857142,1420.375,1262.5555555555557,1136.3,1033.0,946.9166666666666,874.0769230769231,811.6428571428571,757.5333333333333,710.1875,668.4117647058823,631.2777777777778,598.0526315789474
3786.3333333333335,3787.6,3788.0,3787.0,3786.3333333333335,3786.076923076923,3786.266666666667,3786.5,3787.153846153846,3787.5666666666666,3354.714285714286,2935.375,2609.222222222222,2348.3,1956.9166666666667,1677.357142857143,1467.6875,1304.611111111111,1174.15,1067.409090909091,978.4583333333334,903.1923076923077,838.6785714285714,782.7666666666667,733.84375,690.6764705882352,652.3055555555555,617.9736842105264
3785.0,3786.2,3788.125,3787.2,3786.3333333333335,3786.153846153846,3786.0,3786.3,3786.846153846154,3787.4666666666667,3462.8285714285716,3029.975,2693.311111111111,2423.98,2019.9833333333333,1731.4142857142858,1514.9875,1346.6555555555556,1211.99,1101.8090909090909,1009.9916666666667,932.3,865.7071428571429,807.9933333333333,757.49375,712.935294117647,673.3277777777778,637.8894736842105
3786.3333333333335,3786.6,3787.875,3787.8,3787.0,3786.6153846153848,3786.2,3786.55,3786.846153846154,3787.4666666666667,3571.114285714286,3124.725,2777.5333333333333,2499.78,2083.15,1785.557142857143,1562.3625,1388.7666666666667,1249.89,1136.2636363636364,1041.575,961.4538461538461,892.7785714285715,833.26,781.18125,735.2294117647059,694.3833333333333,657.8368421052631
3787.3333333333335,3786.6,3787.5,3788.3,3787.5,3787.076923076923,3786.5333333333333,3786.65,3786.769230769231,3787.3333333333335,3679.342857142857,3219.425,2861.711111111111,2575.54,2146.2833333333333,1839.6714285714286,1609.7125,1430.8555555555556,1287.77,1170.7,1073.1416666666667,990.5923076923077,919.8357142857143,858.5133333333333,804.85625,757.5117647058823,715.4277777777778,677.7736842105263
3788.6666666666665,3787.0,3787.125,3787.9,3787.8333333333335,3787.5384615384614,3786.8,3786.65,3786.730769230769,3787.2,3787.5714285714284,3314.125,2945.8888888888887,2651.3,2209.4166666666665,1893.7857142857142,1657.0625,1472.9444444444443,1325.65,1205.1363636363637,1104.7083333333333,1019.7307692307693,946.8928571428571,883.7666666666667,828.53125,779.7941176470588,736.4722222222222,697.7105263157895
3787.3333333333335,3787.2,3786.875,3787.4,3788.0833333333335,3787.6923076923076,3787.0666666666666,3786.5,3786.6153846153848,3787.0,3787.5142857142855,3408.775,3030.0222222222224,2727.02,2272.516666666667,1947.8714285714286,1704.3875,1515.0111111111112,1363.51,1239.5545454545454,1136.2583333333334,1048.8538461538462,973.9357142857143,909.0066666666667,852.19375,802.064705882353,757.5055555555556,717.6368421052632
3787.6666666666665,3788.2,3787.0,3787.2,3787.8333333333335,3788.153846153846,3787.5333333333333,3786.55,3786.730769230769,3786.9666666666667,3787.5714285714284,3503.5,3114.222222222222,2802.8,2335.6666666666665,2002.0,1751.75,1557.111111111111,1401.4,1274.0,1167.8333333333333,1078.0,1001.0,934.2666666666667,875.875,824.3529411764706,778.5555555555555,737.578947368421
3787.6666666666665,3787.8,3787.25,3787.2,3787.5833333333335,3787.846153846154,3787.8,3786.6,3786.730769230769,3786.9,3787.5142857142855,3598.2,3198.4,2878.56,2398.8,2056.114285714286,1799.1,1599.2,1439.28,1308.4363636363637,1199.4,1107.1384615384616,1028.057142857143,959.52,899.55,846.635294117647,799.6,757.5157894736842
3789.0,3788.2,3787.875,3787.4,3787.5,3787.769230769231,3788.266666666667,3786.95,3786.923076923077,3786.9333333333334,3787.457142857143,3692.95,3282.6222222222223,2954.36,2461.9666666666667,2110.2571428571428,1846.475,1641.3111111111111,1477.18,1342.8909090909092,1230.9833333333333,1136.2923076923078,1055.1285714285714,984.7866666666666,923.2375,868.9294117647058,820.6555555555556,777.4631578947368
3788.3333333333335,3788.0,3788.25,3787.5,3787.4166666666665,3787.4615384615386,3787.9333333333334,3787.1,3786.9615384615386,3786.866666666667,3787.3142857142857,3787.625,3366.777777777778,3030.1,2525.0833333333335,2164.3571428571427,1893.8125,1683.388888888889,1515.05,1377.3181818181818,1262.5416666666667,1165.423076923077,1082.1785714285713,1010.0333333333333,946.90625,891.2058823529412,841.6944444444445,797.3947368421053
3787.0,3787.6,3787.5,3787.4,3787.0833333333335,3787.153846153846,3787.4666666666667,3787.2,3786.8076923076924,3786.8,3787.0857142857144,3787.525,3450.866666666667,3105.78,2588.15,2218.4142857142856,1941.1125,1725.4333333333334,1552.89,1411.7181818181818,1294.075,1194.5307692307692,1109.2071428571428,1035.26,970.55625,913.464705882353,862.7166666666667,817.3105263157895
3786.0,3787.2,3787.375,3787.7,3787.1666666666665,3787.076923076923,3787.2,3787.45,3786.730769230769,3786.766666666667,3787.0,3787.525,3535.0222222222224,3181.52,2651.266666666667,2272.5142857142855,1988.45,1767.5111111111112,1590.76,1446.1454545454546,1325.6333333333334,1223.6615384615384,1136.2571428571428,1060.5066666666667,994.225,935.7411764705882,883.7555555555556,837.2421052631579
